Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
1124, Ngô Quyền,An Hải Bắc,sơn trà,2.83,110.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,22.0,2,"16.09631,108.24529"
1125, Trần Cao Vân,Tam Thuận,thanh khê,1.49,36.0,Tây,Nhà trong hẻm,Giấy tờ hợp lệ,4.1,,,"16.0738,108.20758"
1126, Cách Mạng Tháng 8,Hòa Thọ Đông,cẩm lệ,5.35,125.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,25.0,2,"16.0215783,108.21282"
1127, Lỗ Giáng 6,Hòa Xuân,cẩm lệ,3.9,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"16.00055,108.21451"
1128, Phan Văn Trị,Khuê Trung,cẩm lệ,6.35,110.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.5,20.0,3,"16.01724,108.20838"
1129, Trần Văn Cẩn,Hòa Xuân,cẩm lệ,3.96,150.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,30.0,3,"16.00085,108.21368"
1130, Đặng Văn Ngữ,Khuê Trung,cẩm lệ,5.8,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"16.0137,108.20659"
1131, Bình Hòa 4,Khuê Trung,cẩm lệ,8.5,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,4,"16.02489905,108.21239205"
1132, Phạm Hùng,Hòa Xuân,cẩm lệ,6.0,110.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,22.0,1,"16.00192,108.207"
1133, Bình Hòa 14,Khuê Trung,cẩm lệ,4.15,80.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,16.0,3,"16.02302,108.21231"
1134, Nguyễn Khoa Chiêm,Hòa Thọ Đông,cẩm lệ,4.9,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.0212,108.19683"
1135, Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,7.5,75.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.7,13.0,2,"16.0215783,108.21282"
1136, Hoàng Đạo Thúy,Hòa Thọ Đông,cẩm lệ,5.0,120.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,24.0,3,"16.02004,108.19732"
1137, Trường Chinh,Hòa Thọ Đông,cẩm lệ,4.8,67.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,11.07,6.91,4,"16.00735,108.19196"
1138, Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,18.8,170.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,34.0,4,"16.03954,108.21035"
1139, Bùi Vịnh,Hòa Thọ Đông,cẩm lệ,4.4,95.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,19.0,3,"16.02131,108.20046"
1140, Bùi Vịnh,Hòa Thọ Đông,cẩm lệ,3.9,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,3,"16.02131,108.20046"
1141, Nguyễn Nho Túy,Khuê Trung,cẩm lệ,3.55,75.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,15.0,2,"16.02092,108.20847"
1142, Cách Mạng Tháng 8,Hòa Thọ Đông,cẩm lệ,14.0,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,15.0,2,"16.0215783,108.21282"
1143, Võ Chí Công,Hòa Xuân,cẩm lệ,24.0,50.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,15.0,17.0,2,"16.00562,108.22146"
1144, Bình Thái 4,Hòa Thọ Đông,cẩm lệ,3.85,126.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,21.0,2,"16.01393,108.20296"
1145, Liêm Lạc 15,Hòa Xuân,cẩm lệ,2.85,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"15.98304,108.218"
1147, Trần Kim Xuyến,Hòa Xuân,cẩm lệ,5.6,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"16.02793,108.21234"
1148, Trần Văn Cẩn,Hòa Xuân,cẩm lệ,3.8,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"16.00085,108.21368"
1149, Trương Quang Giao,Khuê Trung,cẩm lệ,4.3,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,3,"16.0202,108.20964"
1150, Đô Đốc Tuyết,Hòa Xuân,cẩm lệ,3.3,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"15.99456,108.21192"
1151, Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,11.0,140.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.9,25.0,1,"16.0215783,108.21282"
1152, Nguyễn Nhàn,Hòa Thọ Đông,cẩm lệ,4.2,145.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,24.0,3,"16.01108,108.19622"
1153, Bình Thái 3,Hòa Thọ Đông,cẩm lệ,4.3,135.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.4,25.0,2,"16.01628,108.20353"
1154, Nguyễn Trung Ngạn,Khuê Trung,cẩm lệ,4.9,125.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,25.0,2,"16.02276,108.2069"
1155, Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,20.0,310.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,11.2,26.0,3,"16.0215783,108.21282"
1156, Trần Kim Bảng,Khuê Trung,cẩm lệ,5.4,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,2,"16.02793,108.21234"
1157, Bùi Vịnh,Hòa Thọ Đông,cẩm lệ,3.9,120.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,24.0,2,"16.02131,108.20046"
1158, Trần Huy Liệu,Khuê Trung,cẩm lệ,4.1,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"16.02044,108.20491"
1159, Phan Triêm,Hòa Xuân,cẩm lệ,3.9,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"16.00474,108.22153"
1160, Đô Đốc Tuyết,Hòa Xuân,cẩm lệ,3.75,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3,"15.99456,108.21192"
1161, 2/9,Hòa Cường Nam,hải châu,17.9,160.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.7,21.0,3,"16.08311,108.22194"
1162, Cẩm Bắc 9,Hòa Thọ Đông,cẩm lệ,3.3,80.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,16.0,2,"16.01876,108.19498"
1163, Liêm Lạc 21,Hòa Xuân,cẩm lệ,2.85,100.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,2,"15.9788,108.21882"
1164, Bình Hòa 2,Khuê Trung,cẩm lệ,2.85,60.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,15.0,1,"16.02606,108.21319"
1165, Trường Chinh,Khuê Trung,cẩm lệ,2.5,85.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,21.0,1,"16.00735,108.19196"
1166, Ông Ích Đường,Hòa Thọ Đông,cẩm lệ,2.8,90.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,18.0,2,"16.01707,108.20465"
1167, Cách Mạng Tháng 8,Hòa Thọ Đông,cẩm lệ,3.15,110.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,9.0,12.0,1,"16.0215783,108.21282"
1168, Phạm Hùng,Hòa Xuân,cẩm lệ,6.7,110.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,22.0,3,"16.00192,108.207"
1169, Phạm Viết Chánh,Hòa Thọ Đông,cẩm lệ,2.25,78.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,13.0,2,"16.0077878,108.2162441"
1170, Ông Ích Đường,Hòa Thọ Đông,cẩm lệ,2.2,76.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.6,16.0,2,"16.01707,108.20465"
1171, Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,2.1,84.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,21.0,2,"16.0215783,108.21282"
1172, Bùi Xương Trạch,Khuê Trung,cẩm lệ,2.25,100.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,20.0,1,"16.02201,108.20569"
1173, Bình Thái 1,Hòa Thọ Đông,cẩm lệ,1.5,66.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,16.5,1,"16.01414,108.20538"
1174, Triệu Quốc Đạt,Hòa Thọ Đông,cẩm lệ,2.25,80.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,13.5,2,"16.0165,108.1989"
1175, Cách Mạng Tháng 8,Khuê Trung,cẩm lệ,2.05,56.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,7.0,8.0,2,"16.0215783,108.21282"
1176, Hoàng Diệu,Nam Dương,hải châu,15.0,6.0,Không,Nhà mặt tiền,Không có,5.5,12.0,5,"16.05467,108.21737"
1177, Lê Thị Hồng Gấm,Hòa Cường Nam,hải châu,7.2,78.0,Không,Nhà mặt tiền,Không có,5.5,14.5,3,"16.03478,108.21788"
1178, Phước Mỹ 3,Phước Mỹ,sơn trà,7.3,66.0,Không,Nhà mặt tiền,Không có,4.1,16.0,3,"16.06687,108.24139"
1179, Tống Phước Phổ,Hòa Cường Bắc,hải châu,6.5,68.0,Không,Nhà mặt tiền,Không có,5.0,13.5,3,"16.04524,108.22224"
1180, Nguyễn Hữu Thọ,Hòa Cường Bắc,hải châu,16.5,125.0,Không,Nhà mặt tiền,Không có,5.0,25.0,4,"16.03954,108.21035"
1181, Nguyễn Tri Phương,Thạc Gián,thanh khê,14.2,125.0,Không,Nhà mặt tiền,Không có,5.0,24.0,4,"16.06071,108.20523"
1182, Dương Bích Liên,Hòa Minh,liên chiểu,3.995,70.0,Không,Nhà mặt tiền,Không có,5.0,14.0,2,"16.07324,108.17285"
1183, Phan Đăng Lưu,Hòa Cường Bắc,hải châu,16.0,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,5,"16.03665,108.21825"
1184, Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,100.0,450.0,Không,Nhà mặt tiền,Không có,15.0,30.0,14,"16.03954,108.21035"
1185, Nguyễn Lộ Trạch,Hòa Cường Nam,hải châu,9.0,11.0,Không,Nhà mặt tiền,Không có,5.0,22.0,3,"16.03258,108.22856"
1186, Nguyễn Tất Thành,Xuân Hà,thanh khê,13.0,90.0,Không,Nhà mặt tiền,Không có,4.5,20.0,6,"16.07765,108.17369"
1187, Núi Thành,Hòa Cường Bắc,hải châu,12.0,135.0,Không,Nhà mặt tiền,Không có,5.37,25.0,2,"16.03194,108.22279"
1188, Nguyễn Văn Linh,Vĩnh Trung,thanh khê,5.8,63.0,Không,Nhà trong hẻm,Không có,4.2,15.0,4,"16.05947,108.20843"
1189, Lý Tự Trọng,Thanh Bình,hải châu,9.8,105.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,,,5,"16.07853,108.21389"
1190, Nguyễn Văn Linh,Thạc Gián,thanh khê,4.09,55.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,11.0,1,"16.05947,108.20843"
1191, Trần Xuân Lê,An Khê,thanh khê,4.5,55.0,Không,Nhà trong hẻm,Không có,5.0,11.0,2,"16.059,108.18735"
1192, Ông Ích Đường,Khuê Trung,cẩm lệ,5.3,125.0,Không,Nhà trong hẻm,Không có,7.8,16.0,1,"16.01707,108.20465"
1193, Thái Phiên,Phước Ninh,hải châu,8.3,8.0,Không,Nhà trong hẻm,Không có,4.5,18.4,3,"16.06509,108.22165"
1194, An Thượng 24,Mỹ An,ngũ hành sơn,6.5,106.0,Không,Nhà trong hẻm,Không có,7.0,15.0,1,"16.05263,108.24152"
1195, Ông Ích Khiêm,Thanh Bình,hải châu,7.1,143.0,Không,Nhà trong hẻm,Không có,8.0,18.0,2,"16.07838,108.21186"
1196, Lý Tự Trọng,Thanh Bình,hải châu,7.2,68.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15.3,4,"16.07853,108.21389"
1197, Ỷ Lan Nguyên Phi,Hòa Cường Bắc,hải châu,16.0,170.0,Không,Nhà mặt tiền,Không có,6.0,20.0,2,"16.04088,108.21625"
1198, Núi Thành,Hòa Thuận Đông,hải châu,24.45,123.0,Không,Nhà mặt tiền,Không có,7.1,18.0,2,"16.03194,108.22279"
1199, Hóa Sơn 2,Hòa Cường Nam,hải châu,3.45,56.0,Không,Nhà mặt tiền,Không có,4.0,14.0,2,"16.03189,108.22724"
1200, Cô Giang,Phước Ninh,hải châu,23.5,155.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,24.0,1,"16.062,108.2217"
1201, An Thượng 1,Mỹ An,ngũ hành sơn,15.7,80.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,16.0,3,"16.0499,108.2482"
1202, Đặng Tử Kính,Thạch Thang,hải châu,14.7,95.0,Không,Nhà mặt tiền,Không có,7.5,12.7,4,"16.07979,108.2222"
1203, Hồ Nghinh,Phước Mỹ,sơn trà,17.0,121.0,Không,Nhà mặt tiền,Không có,5.0,24.2,3,"16.07304,108.24303"
1204, Bình Thái 1,Hòa Thọ Đông,cẩm lệ,6.1,34.0,Không,Nhà mặt tiền,Không có,9.0,286.0,2,"16.01414,108.20538"
1205, Ỷ Lan Nguyên Phi,Hòa Cường Bắc,hải châu,7.65,90.0,Không,Nhà mặt tiền,Không có,4.5,20.0,1,"16.04088,108.21625"
1206, Nguyễn Tri Phương,Thạc Gián,thanh khê,31.0,78.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,29.0,3,"16.06071,108.20523"
1207, Hải Hồ,Thuận Phước,hải châu,11.0,76.0,Không,Nhà mặt tiền,Không có,7.0,11.0,3,"16.08023,108.21557"
1208, Nguyễn Tri Phương,Thạc Gián,thanh khê,31.0,78.0,Không,Nhà mặt tiền,Không có,9.6,29.0,3,"16.06071,108.20523"
1209, Xô Viết Nghệ Tĩnh,Hòa Cường Nam,hải châu,24.0,190.0,Không,Nhà mặt tiền,Không có,10.0,19.0,2,"16.03246,108.21877"
1210, Hà Tông Quyền,Khuê Trung,cẩm lệ,8.0,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,4,"16.01910973,108.20313263"
1211, Nguyễn Phẩm,Hòa Cường Bắc,hải châu,6.8,81.0,Không,Nhà mặt tiền,Không có,4.5,18.0,3,"16.0379,108.21496"
1212, Núi Thành,Hòa Cường Bắc,hải châu,14.5,106.0,Không,Nhà mặt tiền,Không có,6.2,17.0,3,"16.03194,108.22279"
1213, Lê Đình Thám,Hòa Thuận Đông,hải châu,13.0,90.0,Không,Nhà mặt tiền,Không có,5.0,18.0,3,"16.04967,108.21624"
1214, Phan Đăng Lưu,Hòa Cường Nam,hải châu,13.0,99.0,Không,Nhà mặt tiền,Không có,5.0,19.0,1,"16.03665,108.21825"
1215, Phạm Văn Tráng,Hòa Khánh Bắc,liên chiểu,10.5,174.0,Không,Nhà mặt tiền,Không có,9.5,20.0,3,"16.07905,108.14686"
1216, Hải Hồ,Thuận Phước,hải châu,11.0,76.0,Không,Nhà mặt tiền,Không có,7.1,11.0,3,"16.08023,108.21557"
1217, Cù Chính Lan,Hòa Khê,thanh khê,9.5,9.0,Không,Nhà mặt tiền,Không có,11.0,19.0,1,"16.0714016,108.19120789"
1218, Trần Văn Dư,Mỹ An,ngũ hành sơn,22.3,55.0,Không,Nhà mặt tiền,Không có,12.75,20.0,4,"16.04149,108.24495"
1219, Phan Văn Trị,Khuê Trung,cẩm lệ,11.0,198.0,Không,Nhà mặt tiền,Không có,11.0,19.0,3,"16.01724,108.20838"
1220, Phan Châu Trinh,Phước Ninh,hải châu,13.0,84.0,Không,Nhà mặt tiền,Không có,4.5,19.0,3,"16.05775,108.21896"
1221, Duy Tân,Hòa Thuận Đông,hải châu,22.1,7.0,Không,Nhà mặt tiền,Không có,9.0,23.0,2,"16.05102,108.20813"
1222, Hải Hồ,Thanh Bình,hải châu,4.9,68.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15.0,2,"16.08023,108.21557"
1223, Nguyễn Văn Linh,Hòa Thuận Tây,hải châu,6.2,90.0,Không,Nhà mặt tiền,Không có,5.0,18.0,3,"16.06072,108.21685"
1224, Nguyễn Đình Tứ,Hòa An,cẩm lệ,5.3,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,1,"16.04974,108.17602"
1225, Trần Văn Dư,Mỹ An,ngũ hành sơn,13.7,31.0,Không,Nhà mặt tiền,Không có,8.5,27.0,1,"16.04149,108.24495"
1226, Thái Thị Bôi,Chính Gián,thanh khê,5.9,87.0,Không,Nhà mặt tiền,Không có,3.8,17.0,2,"16.06831,108.1972"
1227, Lý Tự Trọng,Thạch Thang,hải châu,14.0,98.0,Không,Nhà mặt tiền,Không có,5.1,17.0,3,"16.07853,108.21389"
1228, Lương Ngọc Quyến,Thuận Phước,hải châu,11.0,76.0,Không,Nhà mặt tiền,Không có,7.0,11.0,3,"16.08109,108.21758"
1229, Ngô Thị Liễu,Hòa Cường Bắc,hải châu,5.3,8.0,Không,Nhà mặt tiền,Không có,5.0,16.5,3,"16.03786,108.21455"
1230, Tô Hiến Thành,Phước Mỹ,sơn trà,55.0,700.0,Không,Nhà mặt tiền,Không có,15.0,46.0,1,"16.06028,108.24304"
1231, Hồ Sĩ Tân,Nại Hiên Đông,sơn trà,7.2,126.0,Không,Nhà mặt tiền,Không có,5.0,25.0,3,"16.09447,108.22971"
1232, Huỳnh Ngọc Huệ,An Khê,thanh khê,7.0,50.0,Không,Nhà mặt tiền,Không có,4.0,13.0,3,"16.06024,108.18557"
1233, Điện Biên Phủ,Chính Gián,thanh khê,69.0,404.0,Không,Nhà mặt tiền,Không có,20.0,20.0,2,"16.06715,108.196"
1234, Phan Châu Trinh,Phước Ninh,hải châu,14.0,77.0,Không,Nhà mặt tiền,Không có,4.26,18.2,4,"16.05775,108.21896"
1235, Lê Lợi,Thạch Thang,hải châu,15.0,118.0,Không,Nhà mặt tiền,Không có,6.0,16.0,1,"16.0726,108.22022"
1236, Ngô Chi Lan,Thuận Phước,hải châu,6.5,74.0,Không,Nhà mặt tiền,Không có,5.86,15.0,4,"16.06903,108.21546"
1237, Khúc Hạo,Nại Hiên Đông,sơn trà,6.5,125.0,Không,Nhà mặt tiền,Không có,5.0,25.0,2,"16.0935,108.23171"
1238, Bế Văn Đàn,An Khê,thanh khê,6.1,86.0,Không,Nhà mặt tiền,Không có,5.0,17.2,3,"16.06502,108.19853"
1239, Hùng Vương,Hải Châu II,hải châu,12.0,69.0,Không,Nhà mặt tiền,Không có,4.0,18.0,1,"16.06859,108.221"
1240, Nguyễn Hữu Thọ,Khuê Trung,cẩm lệ,17.0,170.0,Không,Nhà mặt tiền,Không có,5.0,34.0,5,"16.02728,108.20888"
1241, Huỳnh Tấn Phát,Hòa Cường Bắc,hải châu,8.9,9.0,Không,Nhà mặt tiền,Không có,4.5,20.0,1,"16.03781,108.21405"
1242, Nguyễn Sơn Hà,Hòa Cường Bắc,hải châu,7.45,70.0,Không,Nhà mặt tiền,Không có,5.0,14.0,3,"16.04551,108.21667"
1243, Lý Nhân Tông,Khuê Trung,cẩm lệ,17.0,77.0,Không,Nhà mặt tiền,Không có,15.0,18.0,1,"16.03376,108.20983"
1244, Khuê Mỹ Đông 15,Khuê Mỹ,ngũ hành sơn,14.5,10.0,Không,Nhà mặt tiền,Không có,6.0,17.0,6,"16.03874,108.24676"
1245, An Thượng 26,Mỹ An,ngũ hành sơn,39.0,180.0,Không,Nhà mặt tiền,Không có,9.0,20.0,10,"16.05515,108.24475"
1246, Đuờng Vũ Hữu,Hòa Cường Bắc,hải châu,10.0,105.0,Không,Nhà mặt tiền,Không có,5.0,25.0,3,"16.04214,108.21096"
1247, Đuờng Vũ Hữu,Hòa Cường Bắc,hải châu,10.0,105.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,21.0,3,"16.04214,108.21096"
1248, Lê Thanh Nghị,Hòa Cường Nam,hải châu,9.0,70.0,Không,Nhà mặt tiền,Không có,5.0,14.0,3,"16.03029,108.21903"
1249, Bế Văn Đàn,An Khê,thanh khê,6.4,86.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.0,3,"16.06502,108.19853"
1250, Phạm Văn Đồng,An Hải Bắc,sơn trà,30.0,125.0,Không,Nhà mặt tiền,Không có,5.0,25.0,6,"16.07016,108.24437"
1251, Trần Thanh Mại,An Hải Bắc,sơn trà,6.0,75.0,Không,Nhà mặt tiền,Không có,5.0,15.0,2,"16.07545,108.24057"
1252, An Thượng 2,Mỹ An,ngũ hành sơn,18.0,90.0,Không,Nhà mặt tiền,Không có,5.0,18.0,2,"16.04972,108.24702"
1253, Bà Huyện Thanh Quan,Mỹ An,ngũ hành sơn,22.0,144.0,Không,Nhà mặt tiền,Không có,9.0,16.0,2,"16.04376,108.24501"
1254, Mỹ Đa Đông 12,Mỹ An,ngũ hành sơn,20.5,8.0,Không,Nhà mặt tiền,Không có,12.0,18.0,2,"16.04309,108.24238"
1255, Ngô Thì Sĩ,Mỹ An,ngũ hành sơn,15.0,10.0,Không,Nhà mặt tiền,Không có,5.0,20.5,2,"16.04771,108.24537"
1256, Bạch Đằng,Hải Châu I,hải châu,79.0,169.0,Không,Nhà mặt tiền,Không có,6.7,24.0,2,"16.08728,108.2213"
1257, Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,9.5,50.0,Không,Nhà mặt tiền,Không có,4.5,11.0,5,"16.03954,108.21035"
1258, Trần Phú,Phước Ninh,hải châu,17.0,97.0,Không,Nhà mặt tiền,Không có,4.0,24.0,3,"16.07078,108.22397"
1259, Trần Hoành,Khuê Mỹ,ngũ hành sơn,15.0,,Không,Nhà mặt tiền,Không có,10.0,20.0,3,"16.02505,108.24483"
1260, Nguyễn Duy Hiệu,An Hải Đông,sơn trà,9.0,14.0,Không,Nhà mặt tiền,Không có,5.93,23.0,1,"16.05584,108.23943"
1261, Hoàng Thúc Trâm,Hòa Cường Bắc,hải châu,7.5,90.0,Không,Nhà mặt tiền,Không có,5.0,18.0,3,"16.04274,108.21396"
1262, Bà Huyện Thanh Quan,Mỹ An,ngũ hành sơn,25.0,313.0,Không,Nhà mặt tiền,Không có,9.6,23.0,2,"16.04376,108.24501"
1263, Núi Thành,Hòa Cường Bắc,hải châu,19.5,137.0,Không,Nhà mặt tiền,Không có,7.0,23.0,3,"16.03194,108.22279"
1264, Morrison,An Hải Bắc,sơn trà,35.0,126.0,Không,Nhà mặt tiền,Không có,7.0,18.0,7,"16.07169,108.2443"
1265, Phú Thạnh 4,Hòa Minh,liên chiểu,5.9,100.0,Không,Nhà mặt tiền,Không có,5.0,20.0,3,"16.07305,108.15592"
1266, Núi Thành,Hòa Thuận Đông,hải châu,28.0,151.0,Không,Nhà mặt tiền,Không có,6.5,24.0,8,"16.03194,108.22279"
1267, Nguyễn Văn Linh,Nam Dương,hải châu,55.0,150.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,24.0,2,"16.06072,108.21685"
1268, An Thượng 4,Mỹ An,ngũ hành sơn,20.0,90.0,Không,Nhà mặt tiền,Không có,5.0,18.0,4,"16.04933,108.24615"
1269, Bàu Tràm 1,Khuê Trung,cẩm lệ,6.25,74.0,Không,Nhà mặt tiền,Không có,4.5,15.0,2,"16.03241,108.21184"
1270, Thanh Hải,Thanh Bình,hải châu,8.0,9.0,Không,Nhà mặt tiền,Không có,5.38,17.29,1,"16.08158,108.21286"
1271, Thanh Long,Thanh Bình,hải châu,7.3,108.0,Không,Nhà mặt tiền,Không có,4.5,15.25,4,"16.08158,108.21386"
1272, Phạm Phú Tiết,Khuê Trung,cẩm lệ,7.5,96.0,Không,Nhà mặt tiền,Không có,5.0,19.3,3,"16.03402,108.2086"
1273, Mai Lão Bạng,Thuận Phước,hải châu,7.3,9.0,Không,Nhà mặt tiền,Không có,7.8,12.0,4,"16.08414,108.21865"
1274, Huy Cận,Hòa Cường Nam,hải châu,5.7,70.0,Không,Nhà mặt tiền,Không có,5.0,14.0,3,"16.03315,108.21869"
1275, An Thượng 29,Mỹ An,ngũ hành sơn,13.0,74.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,5,"16.04714,108.2421"
1276, Nguyễn Chí Thanh,Thạch Thang,hải châu,9.4,54.0,Không,Nhà mặt tiền,Không có,4.2,12.7,4,"16.07735,108.22031"
1277, Đào Trí,Hòa Cường Nam,hải châu,4.4,75.0,Không,Nhà mặt tiền,Không có,5.0,15.0,3,"16.02708,108.22281"
1278, Lê Hữu Khánh,Khuê Mỹ,ngũ hành sơn,14.0,,Không,Nhà mặt tiền,Không có,10.0,20.0,3,"16.02931,108.2398"
1279, Bế Văn Đàn,Chính Gián,thanh khê,8.0,75.0,Không,Nhà mặt tiền,Không có,5.0,15.0,5,"16.06502,108.19853"
1280, Thanh Hải,Thanh Bình,hải châu,8.0,9.0,Không,Nhà mặt tiền,Không có,5.38,17.29,2,"16.08158,108.21286"
1281, Trần Đức Thảo,Hòa Cường Nam,hải châu,7.0,90.0,Không,Nhà mặt tiền,Không có,5.0,18.0,1,"16.03412,108.21587"
1282, Phạm Văn Nghị,Thạc Gián,thanh khê,9.5,58.0,Không,Nhà mặt tiền,Không có,4.0,15.0,4,"16.05824,108.20964"
1283, Hàm Nghi,Vĩnh Trung,thanh khê,22.0,8.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,5,"16.06295,108.21069"
1284, Phạm Văn Nghị,Thạc Gián,thanh khê,9.5,60.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,4,"16.05824,108.20964"
1285, Phạm Phú Thứ,Hải Châu I,hải châu,15.0,58.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.7,12.5,4,"16.06744,108.22425"
1286, Đống Đa,Thuận Phước,hải châu,28.0,99.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,7,"16.07503,108.21489"
1287, Đinh Công Tráng,Thuận Phước,hải châu,5.5,58.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,15.0,3,"16.08876,108.21712"
1288, Trần Đức Thảo,Hòa Cường Nam,hải châu,6.8,90.0,Không,Nhà mặt tiền,Không có,5.0,18.0,1,"16.03412,108.21587"
1289, Nguyễn Hoàng,Bình Hiên,hải châu,10.5,81.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,3,"16.05469,108.21202"
1290, Chu Mạnh Trinh,Khuê Trung,cẩm lệ,4.7,74.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,16.5,3,"16.03377,108.21313"
1291, Khuê Đông,Khuê Mỹ,ngũ hành sơn,16.0,10.0,Không,Nhà mặt tiền,Không có,6.0,17.0,5,"15.98459,108.23607"
1292, 2/9,Hòa Cường Nam,hải châu,10.0,89.0,Không,Nhà mặt tiền,Không có,4.5,17.0,4,"16.08311,108.22194"
1293, 2/9,Hòa Cường Nam,hải châu,10.0,89.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,1,"16.08311,108.22194"
1294, Nguyễn Chí Thanh,Thạch Thang,hải châu,27.0,19.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.7,23.0,1,"16.07735,108.22031"
