,Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location,Latitude,Longitude,DistanceToCenter,DistanceToBeach
126, kiệt 70 Nguyễn Du,Thạch Thang,hải châu,3.5,63.0,Đông Nam,Nhà trong hẻm,Giấy tờ hợp lệ,4.3,14.0,2.0,"16.07874,108.21804",16.07874,108.21804,2.1603437707022306,3.1382121389415194
127, Bạch Thái Bưởi,Hòa Khánh Bắc,liên chiểu,5.5,97.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,19.0,3.0,"16.06913,108.14717",16.06913,108.14717,8.54813712984386,10.571507157743167
128, Trần Thủ Độ,Khuê Trung,cẩm lệ,9.7,103.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.3,4.0,"16.02417,108.21349",16.02417,108.21349,4.354554927269142,6.210185506001236
129, An Mỹ,An Hải Tây,sơn trà,4.5,60.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,15.0,1.0,"16.06265,108.23121",16.06265,108.23121,0.5035086680036286,1.8094922306552612
130, Hà Huy Tập,Hòa Khê,thanh khê,5.3,85.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,12.0,2.0,"16.0704,108.19171",16.0704,108.19171,3.880493121862202,5.811401932996704
131, An Thượng 38,Khuê Mỹ,ngũ hành sơn,8.699,60.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,15.0,4.0,"16.04689,108.24197",16.04689,108.24197,2.2756972096442247,2.651219791776307
132, Trưng Nữ Vương,Hòa Thuận Tây,hải châu,30.0,279.3999628710352,Không,Nhà mặt tiền,Giấy tờ hợp lệ,9.5,32.0,3.0,"16.05375,108.21903",16.05375,108.21903,1.1687712007841293,3.434155989137878
133, Vương Thừa Vũ,An Hải Bắc,sơn trà,36.0,,Không,Nhà mặt tiền,Giấy tờ hợp lệ,12.0,19.0,1.0,"16.08037,108.24486",16.08037,108.24486,2.8789343776590317,1.1165247774553675
134, Nguyễn Văn Linh,Vĩnh Trung,thanh khê,26.5,110.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,,,5.0,"16.05947,108.20843",16.05947,108.20843,1.9666907030283522,4.204909027902376
136, Hoàng Sĩ Khải,An Hải Bắc,sơn trà,3.4,75.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,,,2.0,"16.07566,108.23193",16.07566,108.23193,1.7005695623945702,1.6227560250473292
137, Hà Huy Tập,Hòa Khê,thanh khê,3.75,66.0,Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,6.0,11.0,3.0,"16.0704,108.19171",16.0704,108.19171,3.880493121862202,5.811401932996704
138, K23.35 Nguyễn Văn Huề,Thanh Khê Tây,thanh khê,2.3,64.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,9.4,8.0,2.0,"16.06917,108.17588",16.06917,108.17588,5.506625376379932,7.504208253769182
139, Tô Hiệu,Hòa Minh,liên chiểu,3.2,60.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,,3.0,"16.06424,108.16672",16.06424,108.16672,6.42293778414579,8.509739169095434
140, Phạm Như Xương,Hòa Khánh Nam,liên chiểu,1.45,65.0,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,5.5,,1.0,"16.06383,108.14822",16.06383,108.14822,8.396078679344349,10.484508126930555
141, Hàn Thuyên,Hòa Cường Bắc,hải châu,7.95,108.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,24.0,3.0,"16.03936,108.21621",16.03936,108.21621,2.677025343637635,4.702626927549181
142, Quốc lộ 1A,Xã Hòa Phước,hòa vang,2.0,121.0,Không,Nhà trong hẻm,Không có,,,2.0,"15.96907,108.20995",15.96907,108.20995,10.400665888716434,11.911232637186048
143, Phan Đăng Lưu,Hòa Cường Nam,hải châu,7.6,78.0,Không,Nhà mặt tiền,Không có,,,3.0,"16.03665,108.21825",16.03665,108.21825,2.877250592059999,4.789874082924726
144, Mai Đăng Chơn,Hòa Quý,ngũ hành sơn,15.0,279.3999628710352,Không,Nhà mặt tiền,Không có,,,3.0,"15.97666,108.23309",15.97666,108.23309,9.425237859920855,10.5157218677171
145, Nguyễn Hữu Thọ,Hòa Cường Nam,hải châu,42.36905874082751,279.3999628710352,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,20.0,25.0,3.0,"16.03954,108.21035",16.03954,108.21035,2.978553828367126,5.135096527646907
146, Trưng Nữ Vương,Bình Thuận,hải châu,27.0,,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,8.0,22.0,1.0,"16.05375,108.21903",16.05375,108.21903,1.1687712007841293,3.434155989137878
147, Dương Đức Hiền,Hòa Minh,liên chiểu,2.65,7.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,16.0,1.0,"16.08288,108.16057",16.08288,108.16057,7.470350123603554,9.243516335168568
148, Tế Hanh,Hòa Xuân,cẩm lệ,3.95,11.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,22.5,2.0,"15.98764,108.21322",15.98764,108.21322,8.306531194908908,9.850578247597417
150, Ngô Quyền,An Hải Bắc,sơn trà,8.2,85.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,14.4,3.0,"16.09631,108.24529",16.09631,108.24529,4.37794592535801,2.882313946681588
151, Đào Sư Tích,Hòa Minh,liên chiểu,3.85,60.0,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,3.99,16.74,3.0,"16.05359,108.16691",16.05359,108.16691,6.449631363139912,8.665936859783649
152, Nguyễn Đỗ Cung,Hòa Minh,liên chiểu,5.0,110.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,22.0,2.0,"16.06062,108.17027",16.06062,108.17027,6.034563710581035,8.174973202547694
153, Hà Huy Tập,Xuân Hà,thanh khê,11.5,98.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,5.0,"16.0704,108.19171",16.0704,108.19171,3.880493121862202,5.811401932996704
154, Dương Vân Nga,Nại Hiên Đông,sơn trà,6.8,100.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,4.0,"16.09172,108.23162",16.09172,108.23162,3.4331728893780156,2.8308425229674916
155, Phạm Văn Bạch,Hòa Cường Nam,hải châu,4.5,76.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,19.0,1.0,"16.03197,108.22656",16.03197,108.22656,3.250722516116284,4.756060878052143
156, Bùi Vịnh,Hòa Phát,cẩm lệ,4.2,120.0,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,24.0,2.0,"16.02131,108.20046",16.02131,108.20046,5.250202749223443,7.319817525866946
157, Nguyễn Thanh Năm,An Khê,thanh khê,3.2,75.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,15.0,1.0,"16.03579,108.19075",16.03579,108.19075,4.772830922935728,7.056480344768933
158, Đoàn Phú Tứ,Hòa Khánh Bắc,liên chiểu,4.1,147.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,30.0,1.0,"16.06926,108.14463",16.06926,108.14463,8.819653094755985,10.842763680501717
159, Nguyễn Trác,Hòa Thuận Tây,hải châu,9.0,134.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,27.0,2.0,"16.04123,108.20957",16.04123,108.20957,2.8809787689901625,5.075137010149354
160, Trần Can,Hòa Khê,thanh khê,5.8,85.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.0,3.0,"16.0738,108.20758",16.0738,108.20758,2.4808404610762738,4.133072772245373
161, An Mỹ,An Hải Tây,sơn trà,4.8,56.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,14.0,1.0,"16.06265,108.23121",16.06265,108.23121,0.5035086680036286,1.8094922306552612
162, Ngô Trí Hòa,Nại Hiên Đông,sơn trà,3.2,7.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,18.0,1.0,"16.09121,108.23348",16.09121,108.23348,3.4133554404336004,2.677977947522532
163, Man Thiện,Hòa Thuận Tây,hải châu,8.9,96.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,19.2,3.0,"16.05362,108.20609",16.05362,108.20609,2.3623453909643244,4.664408750915351
164, Hoàng Đức Lương,An Hải Bắc,sơn trà,9.0,100.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3.0,"16.07525,108.23292",16.07525,108.23292,1.695609411273975,1.5082380112631577
165, Võ Duy Ninh,Thọ Quang,sơn trà,5.3,130.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,25.7,2.0,"16.09291,108.24852",16.09291,108.24852,4.224246044119248,2.5164008311252295
166, Lý Tự Trọng,Thạch Thang,hải châu,10.8,80.0,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,20.0,2.0,"16.05067825,108.21286774",16.050678,108.21287,1.8889788615385568,4.173595504998626
167, Ngô Chi Lan,Thuận Phước,hải châu,6.8,95.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,6.0,21.0,1.0,"16.06903,108.21546",16.06903,108.21546,1.4869206602559712,3.277239164583838
168, Vũ Quỳnh,Thanh Khê Tây,thanh khê,3.9,75.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,15.0,1.0,"16.07717,108.17347",16.07717,108.17347,5.9628294458872135,7.796829200121948
169, Trần Văn Đang,Khuê Trung,cẩm lệ,4.2,75.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,15.0,2.0,"16.01969,108.20764",16.01969,108.20764,5.047327338603745,6.977521917714064
170, Man Thiện,Hòa Thuận Tây,hải châu,8.9,96.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,19.2,3.0,"16.05362,108.20609",16.05362,108.20609,2.3623453909643244,4.664408750915351
171, Hồ Huân Nghiệp,Mỹ An,ngũ hành sơn,5.1,90.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,1.0,"16.03889,108.23781",16.03889,108.23781,2.7483197146093334,3.6139588410177845
172, Bùi Dương Lịch,Nại Hiên Đông,sơn trà,5.2,100.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3.0,"16.0895,108.23283",16.0895,108.23283,3.2129398149994635,2.5538601745232783
173, Lưu Nhân Chú,Khuê Trung,cẩm lệ,3.4,70.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,14.0,2.0,"16.02025,108.20802",16.02025,108.20802,4.973826778854132,6.90311884878035
174, An Mỹ 3,An Hải Tây,sơn trà,4.2,57.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.4,13.0,1.0,"16.06433,108.23117",16.06433,108.23117,0.5869986500772156,1.7321712783855274
175, Lưu Nhân Chú,Khuê Trung,cẩm lệ,3.4,70.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,14.0,2.0,"16.02025,108.20802",16.02025,108.20802,4.973826778854132,6.90311884878035
177, Nguyễn Thuật,Hòa An,cẩm lệ,3.15,90.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,18.0,1.0,"16.0521,108.17708",16.0521,108.17708,5.402817527328127,7.650879685795299
178, Lê Chân,Nại Hiên Đông,sơn trà,5.1,80.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,16.0,2.0,"16.0907,108.23871",16.0907,108.23871,3.5202535337999077,2.391437393622743
179, Trần Phú,Phước Ninh,hải châu,41.0,158.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,21.0,3.0,"16.07078,108.22397",16.07078,108.22397,1.1054167953201894,2.365117969391059
180, An Nhơn 1,An Hải Bắc,sơn trà,6.45,73.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.7,15.4,3.0,"16.07063,108.23322",16.07063,108.23322,1.2561277044163741,1.3761425579745332
181, Đoàn Trần Nghiệp,Hòa Khánh Bắc,liên chiểu,6.0,98.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3.0,"16.0693,108.14883",16.0693,108.14883,8.374202052628437,10.394380850634207
182, Nguyễn Xuân Khoát,An Hải Bắc,sơn trà,9.5,110.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,22.0,3.0,"16.06982,108.23675",16.06982,108.23675,1.4355367162079733,1.001363402601906
183, Nguyễn Đỗ Cung,Hòa Minh,liên chiểu,3.85,83.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.0,3.0,"16.06062,108.17027",16.06062,108.17027,6.034563710581035,8.174973202547694
184, Núi Thành,Hòa Thuận Đông,hải châu,24.0,123.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,7.1,17.8,3.0,"16.03194,108.22279",16.03194,108.22279,3.2811165281246937,4.94885968841344
185, An Mỹ,An Hải Tây,sơn trà,4.2,56.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,14.0,1.0,"16.06265,108.23121",16.06265,108.23121,0.5035086680036286,1.8094922306552612
186, An Nhơn 3,An Hải Bắc,sơn trà,8.5,117.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.3,22.0,2.0,"16.06963,108.23429",16.06963,108.23429,1.2362412178073234,1.264686260791887
187, Nguyễn Lương Bằng,Hòa Hiệp Nam,liên chiểu,5.3,14.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.9,36.0,1.0,"16.08075,108.14674",16.08075,108.14674,8.81996841850772,10.678099453989041
188, Hàn Thuyên,Hòa Cường Bắc,hải châu,7.8,11.0,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,25.0,1.0,"16.03936,108.21621",16.03936,108.21621,2.677025343637635,4.702626927549181
189, Nước Mặn 2,Khuê Mỹ,ngũ hành sơn,5.1,95.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,19.0,2.0,"16.02124,108.25063",16.02124,108.25063,5.124797205444671,5.487740312123523
190, An Trung 8,An Hải Tây,sơn trà,3.9,58.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.5,11.0,2.0,"16.05655,108.23464",16.05655,108.23464,0.989975781274106,1.967495430603943
191, Xuân Thiều 11,Hòa Hiệp Nam,liên chiểu,3.6,100.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,1.0,"16.10256,108.13604",16.10256,108.13604,10.726910293409437,12.290687281305255
193, Ngô Quyền,An Hải Tây,sơn trà,12.5,87.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.42,2.0,"16.09631,108.24529",16.09631,108.24529,4.37794592535801,2.882313946681588
194, Thái Thị Bôi,Chính Gián,thanh khê,2.95,45.0,Bắc,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,11.5,3.0,"16.06831,108.1972",16.06831,108.1972,3.254576923792995,5.230468250766431
195, Nại Nghĩa 4,Nại Hiên Đông,sơn trà,3.6,50.0,Nam,Nhà trong hẻm,Giấy tờ hợp lệ,4.0,12.5,3.0,"16.08561,108.23101",16.08561,108.23101,2.7518919561674178,2.3365699991048117
196, Nguyễn Thanh Năm,An Khê,thanh khê,3.0,78.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,15.6,1.0,"16.03579,108.19075",16.03579,108.19075,4.772830922935728,7.056480344768933
197, Hàn Thuyên,Hòa Cường Bắc,hải châu,8.4,100.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,3.0,"16.03936,108.21621",16.03936,108.21621,2.677025343637635,4.702626927549181
198, Nguyễn Thanh Năm,An Khê,thanh khê,3.1,75.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,15.0,1.0,"16.03579,108.19075",16.03579,108.19075,4.772830922935728,7.056480344768933
199, Gò Nãy 9,Hòa Minh,liên chiểu,3.8,85.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.0,2.0,"16.08094,108.1366",16.08094,108.1366,9.879044451202894,11.758640320905236
200, Nguyễn Trung Ngạn,Khuê Trung,cẩm lệ,5.2,125.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,25.0,2.0,"16.02276,108.2069",16.02276,108.2069,4.771662376560227,6.75334073749535
201, Cao Bá Nhạ,Mân Thái,sơn trà,4.0,75.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,15.0,2.0,"16.08803,108.2403",16.08803,108.2403,3.3162065326270316,2.0558704176661475
202, Sơn Thủy 2,Hòa Hải,ngũ hành sơn,4.8,115.0,Tây Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,23.0,2.0,"16.01371,108.25355",16.01371,108.25355,6.007805908970856,6.3536839003854455
203, Hoàng Đình Ái,Hòa Xuân,cẩm lệ,4.35,125.0,Đông,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,25.0,2.0,"15.99713,108.21506",15.99713,108.21506,7.2331958895042865,8.796751918568999
204, Mân Quang 4,Thọ Quang,sơn trà,3.9,110.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,22.0,1.0,"16.10372,108.24584",16.10372,108.24584,5.149194204208101,3.705085409571678
205, Mai Lão Bạng,Thuận Phước,hải châu,7.3,93.0,Nam,Nhà mặt tiền,Giấy tờ hợp lệ,7.79,11.79,3.0,"16.08414,108.21865",16.08414,108.21865,2.693169424205802,3.3069645550218314
206, Nguyễn Huy Tự,Hòa Minh,liên chiểu,2.95,7.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,16.0,2.0,"16.08181,108.15984",16.08181,108.15984,7.506540676421036,9.303140206534472
207, Đặng Thùy Trâm,Hòa Thuận Tây,hải châu,4.6,79.0,Tây Nam,Nhà trong hẻm,Giấy tờ hợp lệ,4.2,16.7,2.0,"16.05255,108.20845",16.05255,108.20845,2.178801880518975,4.486051405800888
208, Hồ Sĩ Tân,Nại Hiên Đông,sơn trà,7.8,153.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,21.212337177961096,,3.0,"16.09447,108.22971",16.09447,108.22971,3.7125998338154274,3.198151063720616
209, Chu Mạnh Trinh,Khuê Trung,cẩm lệ,5.0,75.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,,3.0,"16.03377,108.21313",16.03377,108.21313,3.3797424406328114,5.385634251684387
210, Trần Cao Vân,Xuân Hà,thanh khê,11.2,105.0,Tây,Nhà mặt tiền,Giấy tờ hợp lệ,6.6,,3.0,"16.0738,108.20758",16.0738,108.20758,2.4808404610762738,4.133072772245373
227, Hoàng Diệu,Bình Hiên,hải châu,5.2,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,7.0,10.0,3.0,"16.05467,108.21737",16.05467,108.21737,1.237416331280333,3.5332953241915104
238, 2/9,Thuận Phước,hải châu,2.6,80.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,5.0,13.0,1.0,"16.08311,108.22194",16.08311,108.22194,2.4895493413378476,2.9430929001468646
268, 2/9,Thuận Phước,hải châu,2.8,70.0,Không,Nhà trong hẻm,Giấy tờ hợp lệ,10.0,7.0,2.0,"16.08311,108.22194",16.08311,108.22194,2.4895493413378476,2.9430929001468646
302, Tôn Đức Thắng,Hòa Minh,liên chiểu,2.5,60.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.0,3.0,5.0,"16.07067,108.15084",16.07067,108.15084,8.178437906853128,10.178456772350781
335, Nguyễn Giản Thanh,An Khê,thanh khê,6.95,110.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,21.212337177961096,,3.0,"16.05524,108.1861",16.05524,108.1861,4.393778834755012,6.629511768580092
336, Phan Tứ,Mỹ An,ngũ hành sơn,14.7,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,20.0,,1.0,"16.04607,108.24456",16.04607,108.24456,2.5408692636602055,2.710360170182567
337, An Dương Vương,Mỹ An,ngũ hành sơn,11.0,279.3999628710352,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,7.0,"16.04387,108.23749",16.04387,108.23749,2.2432839247436123,3.09011377239576
338, An Dương Vương,Mỹ An,ngũ hành sơn,10.9,279.3999628710352,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,20.0,7.0,"16.04387,108.23749",16.04387,108.23749,2.2432839247436123,3.09011377239576
339, Dương Trí Trạch,An Hải Bắc,sơn trà,12.3,41.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,15.0,5.0,"16.07451,108.24024",16.07451,108.24024,2.066343344121003,0.775042932167373
341, Hoài Thanh,Mỹ An,ngũ hành sơn,12.95,160.0,Tây Nam,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,16.0,3.0,"16.04427,108.23848",16.04427,108.23848,2.2623042638227444,3.0175182842942223
342, Đinh Lễ,Mân Thái,sơn trà,3.6,75.0,Đông Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,17.0,2.0,"16.08749,108.23905",16.08749,108.23905,3.205191922972577,2.044103793436939
343, Đỗ Bá,Mỹ An,ngũ hành sơn,11.5,8.0,Đông Nam,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,14.0,3.0,"16.05193,108.24696",16.05193,108.24696,2.394053282708216,2.055900365658174
344, Nguyễn Văn Thoại,Mỹ An,ngũ hành sơn,20.8,130.0,Bắc,Nhà mặt tiền,Giấy tờ hợp lệ,5.4,23.5,2.0,"16.05129,108.24253",16.05129,108.24253,2.0151034129778,2.1588331458744583
345, Nguyễn Nghiêm,Hòa Khê,thanh khê,8.7,68.0,Không,Nhà mặt tiền,Không có,6.0,,4.0,"16.062,108.1909",16.062,108.1909,3.8308258053136663,5.971434948006799
346, Nguyễn Phước Nguyên,An Khê,thanh khê,6.2,93.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3.0,"16.05452,108.18347",16.05452,108.18347,4.683263989226993,6.921132658896692
347, Hàn Mạc Tử,Thuận Phước,hải châu,7.0,55.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.0,,3.0,"16.08542,108.21743",16.08542,108.21743,2.870878333070754,3.4890020499188594
348, Thanh Thủy,Thanh Bình,hải châu,6.0,70.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,4.5,,1.0,"16.08232,108.21374",16.08232,108.21374,2.7284717180853924,3.703121017211899
349, 3/2,Thuận Phước,hải châu,6.0,77.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,1.0,"16.08332,108.2223",16.08332,108.2223,2.5048335009595224,2.920948047128133
350, Núi Thành,Hòa Cường Nam,hải châu,7.2,90.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3.0,"16.03194,108.22279",16.03194,108.22279,3.2811165281246937,4.94885968841344
351, Đoàn Khuê,Khuê Mỹ,ngũ hành sơn,7.5,110.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3.0,"16.02914,108.24223",16.02914,108.24223,3.9306974296811976,4.606419869817279
352, Cần Giuộc,An Khê,thanh khê,6.95,110.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3.0,"16.05659,108.18494",16.05659,108.18494,4.496736499966759,6.713527970033814
353, Tiên Sơn,Hòa Cường Nam,hải châu,6.9,8.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3.0,"16.02913,108.22021",16.02913,108.22021,3.6340206383047717,5.3585410076001745
354, Vùng Trung 5,Hòa Hải,ngũ hành sơn,7.85,,Không,Nhà mặt tiền,Giấy tờ hợp lệ,9.0,,2.0,"15.98977,108.26162",15.98977,108.26162,8.774041328394736,9.117779093031533
355, Vùng Trung 3,Hòa Hải,ngũ hành sơn,7.9,185.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,7.5,,3.0,"15.99111,108.25972",15.99111,108.25972,8.553757010159906,8.936006527986725
356, Khuê Mỹ Đông,Mỹ An,ngũ hành sơn,9.3,75.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3.0,"16.03956,108.24598",16.03956,108.24598,3.164896059046821,3.4292404298773427
357, Lê Thị Hồng Gấm,Hòa Cường Nam,hải châu,5.8,74.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,1.0,"16.03478,108.21788",16.03478,108.21788,3.0869570389140115,4.978020937410927
358, Dương Quảng Hàm,Khuê Trung,cẩm lệ,6.1,85.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3.0,"16.03387,108.21396",16.03387,108.21396,3.3321882930223565,5.319330872404968
359, Dương Quảng Hàm,Hòa Cường Bắc,hải châu,6.15,95.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3.0,"16.07505,108.22114",16.07505,108.22114,1.6521668709369912,2.7168143448193423
360, Lê Thanh Nghị,Khuê Trung,cẩm lệ,6.5,116.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3.0,"16.02363,108.22377",16.02363,108.22377,4.189980770821864,5.721885767640452
361, Thanh Thủy,Thanh Bình,hải châu,6.3,70.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,1.0,"16.08232,108.21374",16.08232,108.21374,2.7284717180853924,3.703121017211899
362, Lý Triện,An Khê,thanh khê,6.6,105.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.0,,3.0,"16.05945,108.18524",16.05945,108.18524,4.439013307893773,6.615873204430845
363, Thái Thị Bôi,An Khê,thanh khê,6.6,115.0,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5.5,,3.0,"16.06831,108.1972",16.06831,108.1972,3.254576923792995,5.230468250766431
364, Tôn Đức Thắng,Hòa Minh,liên chiểu,24.99,279.3999628710352,Không,Nhà mặt tiền,Giấy tờ hợp lệ,10.0,,4.0,"16.07067,108.15084",16.07067,108.15084,8.178437906853128,10.178456772350781
