 Street,Ward,District,Prices,Area,toFace,type,certificate,width,length,floors,Location
 Lý Nhân Tông,Khuê Trung,cẩm lệ,17,77,Không,Nhà mặt tiền,Không có,15,18,1,"16.03376,108.20983"
 Khuê Mỹ Đông 15,Khuê Mỹ,ngũ hành sơn,14.5,10,Không,Nhà mặt tiền,Không có,6,17,6,"16.03874,108.24676"
 An Thượng 26,Mỹ An,ngũ hành sơn,39,180,Không,Nhà mặt tiền,Không có,9,20,10,"16.05515,108.24475"
 Đuờng Vũ Hữu,Hòa Cường Bắc,hải châu,10,105,Không,Nhà mặt tiền,Không có,5,25,3,"16.04214,108.21096"
 Đuờng Vũ Hữu,Hòa Cường Bắc,hải châu,10,105,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,21,3,"16.04214,108.21096"
 Lê Thanh Nghị,Hòa Cường Nam,hải châu,9,70,Không,Nhà mặt tiền,Không có,5,14,3,"16.03029,108.21903"
 Bế Văn Đàn,An Khê,thanh khê,6.4,86,Không,Nhà mặt tiền,Giấy tờ hợp lệ,5,17,3,"16.06502,108.19853"
 Phạm Văn Đồng,An Hải Bắc,sơn trà,30,125,Không,Nhà mặt tiền,Không có,5,25,6,"16.07016,108.24437"
 Trần Thanh Mại,An Hải Bắc,sơn trà,6,75,Không,Nhà mặt tiền,Không có,5,15,2,"16.07545,108.24057"
 An Thượng 2,Mỹ An,ngũ hành sơn,18,90,Không,Nhà mặt tiền,Không có,5,18,2,"16.04972,108.24702"
 Bà Huyện Thanh Quan,Mỹ An,ngũ hành sơn,22,144,Không,Nhà mặt tiền,Không có,9,16,2,"16.04376,108.24501"
 Mỹ Đa Đông 12,Mỹ An,ngũ hành sơn,20.5,8,Không,Nhà mặt tiền,Không có,12,18,2,"16.04309,108.24238"
 Ngô Thì Sĩ,Mỹ An,ngũ hành sơn,15,10,Không,Nhà mặt tiền,Không có,5,20.5,2,"16.04771,108.24537"
 Bạch Đằng,Hải Châu I,hải châu,79,169,Không,Nhà mặt tiền,Không có,6.7,24,2,"16.08728,108.2213"
 Nguyễn Hữu Thọ,Hòa Thuận Tây,hải châu,9.5,50,Không,Nhà mặt tiền,Không có,4.5,11,5,"16.03954,108.21035"
 Trần Phú,Phước Ninh,hải châu,17,97,Không,Nhà mặt tiền,Không có,4,24,3,"16.07078,108.22397"
 Trần Hoành,Khuê Mỹ,ngũ hành sơn,15,,Không,Nhà mặt tiền,Không có,10,20,3,"16.02505,108.24483"
 Nguyễn Duy Hiệu,An Hải Đông,sơn trà,9,14,Không,Nhà mặt tiền,Không có,5.93,23,1,"16.05584,108.23943"
 Hoàng Thúc Trâm,Hòa Cường Bắc,hải châu,7.5,90,Không,Nhà mặt tiền,Không có,5,18,3,"16.04274,108.21396"
